namevariant,preflabel,coords
searchable,canonical_form,geometry
Kijckuit fort,|Kijckuit, fort|,Point(-33.8905 18.4856)
Dieren fort,|Dieren, fort|,Point(-6.12133 106.803)
Beschermingh fort,|Beschermingh, fort (Cirebon)|,Point(-6.74697 108.594)
Beschermer fort,|Beschermingh, fort (Cirebon)|,Point(-6.74697 108.594)
Nassau fort,|Nassau, fort (Goree)|,Point(14.6687 -17.4001)
Nassou fortGoree,|Nassau, fort (Goree)|,Point(14.6687 -17.4001)
SantaCruz fort,|Santa Cruz, fort|,Point(12.3052 -69.1484)
SintCruys fort,|Santa Cruz, fort|,Point(12.3052 -69.1484)
Arguin fortzondernaam,|Arguin, fort zonder naam|,Point(20.612 -16.4477)
Mols fort,|Mols, fort|,Point(-9.2803 13.1225)
Aardenburgh fort,|Aardenburgh, fort|,Point(-8.80772 13.2231)
Orange fort,|Orange, fort (Goree)|,Point(14.6646 -17.398)
Oranje fortGoree,|Orange, fort (Goree)|,Point(14.6646 -17.398)
Ruychaver fort,|Ruychaver, fort|,Point(5.03333 -2.2)
Carolusburg fort,|Carolusburg, fort|,Point(5.10356 -1.24115)
EliseCarthago fort,|Elise Carthago, fort|,Point(4.893 -2.26757)
Dorothea fort,|Dorothea, fort|,Point(4.75265 -2.03565)
Witsen fort,|Witsen, fort|,Point(4.91667 -1.75)
Tacaray fort,|Witsen, fort|,Point(4.91667 -1.75)
GoedeHoop fort Ghana),|Goede Hoop, fort (Aggia, Ghana)|,Point(5.18675 -1.10181)
Kpone fortbij,|Kpone, fort bij|,Point(5.68888 0.062538)
Zeelandia fort,|Zeelandia, fort (Jaquim)|,Point(6.36667 2.35)
Singelenburgh fort,|Singelenburgh, fort|,Point(5.92136 0.993564)
Nassau fort,|Nassau, fort (Albany)|,Point(42.6357 -73.7546)
vanNassouwen fort,|Nassau, fort (Albany)|,Point(42.6357 -73.7546)
Oranje fort,|Oranje, fort (Albany)|,Point(42.6446 -73.7504)
Orangie fort,|Oranje, fort (Albany)|,Point(42.6446 -73.7504)
Castellum Auriacum,|Oranje, fort (Albany)|,Point(42.6446 -73.7504)
Amsterdam fort,|Amsterdam, fort (New York)|,Point(40.704 -74.0137)
Nieuw-Amsterdam fort,|Amsterdam, fort (New York)|,Point(40.704 -74.0137)
HuisterHope fort,|Huis ter Hope, fort (Hartford)|,Point(41.75 -72.7)
GoedHope fortHartford,|Huis ter Hope, fort (Hartford)|,Point(41.75 -72.7)
Compagniesfort Whorekill,Compagniesfort Whorekill,Point(38.7792 -75.1463)
Compagniesfort,Compagniesfort Whorekill,Point(38.7792 -75.1463)
Compagnie's fortDelaware,Compagniesfort Whorekill,Point(38.7792 -75.1463)
Christina fort,|Christina, fort (Wilmington)|,Point(39.7374 -75.5383)
Altena fort,|Christina, fort (Wilmington)|,Point(39.7374 -75.5383)
NyaKorsholm fort,|Nya Korsholm, fort|,Point(39.8965 -75.2129)
Casimir fort,|Casimir, fort|,Point(39.6634 -75.5591)
NieuwerAmstel fort,|Casimir, fort|,Point(39.6634 -75.5591)
Drie-eenheid fort,|Casimir, fort|,Point(39.6634 -75.5591)
Trefaldighet fort,|Casimir, fort|,Point(39.6634 -75.5591)
Casimirus fort,|Casimir, fort|,Point(39.6634 -75.5591)
Casemirus fort,|Casimir, fort|,Point(39.6634 -75.5591)
Nassau fort,|Nassau, fort (Gloucester City)|,Point(39.886 -75.1278)
Wilhelmus fort,|Wilhelmus, fort (Prince's eiland)|,Point(40.0839 -74.8558)
Wilhelmus fort,|Wilhelmus, fort (Prince's eiland)|,Point(40.0839 -74.8558)
Vaersenbaai fort,|Vaersenbaai, fort|,Point(12.1605 -69.0039)
Amsterdam fort,|Amsterdam, fort (Curaçao)|,Point(12.1046 -68.9342)
Amsterdam fortPunda,|Amsterdam, fort (Curaçao)|,Point(12.1046 -68.9342)
Amsterdam fortWillemstad,|Amsterdam, fort (Curaçao)|,Point(12.1046 -68.9342)
Waterfort Punda,|Waterfort, Punda|,Point(12.1036 -68.9335)
Waterfort Willemstad,|Waterfort, Punda|,Point(12.1036 -68.9335)
GraafvanBuren fort,|Graaf van Buren, fort (Curaçao)|,Point(12.0966 -68.9138)
GraafvanBuren fortWillemstad,|Graaf van Buren, fort (Curaçao)|,Point(12.0966 -68.9138)
Beverwijk fort,|Graaf van Buren, fort (Curaçao)|,Point(12.0966 -68.9138)
