namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
Aert van Nesstraat,https://adamlink.nl/geo/street/aert-van-nesstraat/67,http://www.wikidata.org/entity/Q15979311,Aert van Nesstraat,Point(4.8797884102516 52.390687836992),1915,1915,0,0;
Afrikanerplein,https://adamlink.nl/geo/street/afrikanerplein/71,http://www.wikidata.org/entity/Q18932252,Afrikanerplein,Point(4.916619530323 52.35171645149),1923,1923,0,0;
Afroditekade,https://adamlink.nl/geo/street/afroditekade/72,http://www.wikidata.org/entity/Q18932260,Afroditekade,Point(4.857461972583 52.347123576052),2001,2001,0,0;
Agamemnonstraat,https://adamlink.nl/geo/street/agamemnonstraat/73,http://www.wikidata.org/entity/Q18932320,Agamemnonstraat,Point(4.8637963285543 52.344151647858),1929,1929,0,0;
Agatha Christiesingel,https://adamlink.nl/geo/street/agatha-christiesingel/74,http://www.wikidata.org/entity/Q18932327,Agatha Christiesingel,Point(4.9439905021933 52.322566994577),1982,1982,0,0;
Agatha Dekenstraat,https://adamlink.nl/geo/street/agatha-dekenstraat/75,http://www.wikidata.org/entity/Q18932329,Agatha Dekenstraat,Point(4.8669104379967 52.368935628806),1904,1904,0,0;
A.J. Koejemansstraat,https://adamlink.nl/geo/street/aj-koejemansstraat/76,http://www.wikidata.org/entity/Q18926740,A.J. Koejemansstraat,Point(4.7849741721189 52.350814261639),1989,1989,0,0;
A.J. Krophollerstraat,https://adamlink.nl/geo/street/aj-krophollerstraat/77,http://www.wikidata.org/entity/Q18926744,A.J. Krophollerstraat,Point(4.8215934096704 52.373895767665),1997,1997,0,0;
Akbarstraat,https://adamlink.nl/geo/street/akbarstraat/78,http://www.wikidata.org/entity/Q18933177,Akbarstraat,Point(4.841125441607 52.378241786941),1939,1939,0,0;
Akerpolderstraat,https://adamlink.nl/geo/street/akerpolderstraat/80,http://www.wikidata.org/entity/Q18933396,Akerpolderstraat,Point(4.7966490248891 52.34148295837),1929,1929,0,0;
Akersingel,https://adamlink.nl/geo/street/akersingel/81,http://www.wikidata.org/entity/Q2952499,Akersingel,Point(4.7774731012306 52.352511063572),1988,1988,0,0;
Akersluis,https://adamlink.nl/geo/street/akersluis/82,http://www.wikidata.org/entity/Q18933400,Akersluis,Point(4.7924146192334 52.341028196513),1964,1964,0,0;
Akerwateringstraat,https://adamlink.nl/geo/street/akerwateringstraat/84,http://www.wikidata.org/entity/Q18933443,Akerwateringstraat,Point(4.7840431502862 52.354521488946),1963,1963,0,0;
Akkerstraat,https://adamlink.nl/geo/street/akkerstraat/85,http://www.wikidata.org/entity/Q18933736,Akkerstraat,Point(4.9454298452694 52.339265198904),1924,1924,0,0;
Akkerwindeweg,https://adamlink.nl/geo/street/akkerwindeweg/86,http://www.wikidata.org/entity/Q18934217,Akkerwindeweg,Point(4.9118878972583 52.397878896833),1933,1933,0,0;
